TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	ODD BR	OS	Méret	WLAN	USB	ExpressCard	HDMI	HSUPA	BT	Szín	FP	FW	CR	Kamera	Mikrofon	SVIDEO	LAN	HSDPA	Processzor jellemzők:Intel® Core™ i3 Mobile Processor I3-350M-es modellje 2,26 GHz frekvenciájával ő teljesítményt nyújt alapvető otthoni vagy irodai munkavégzés során.>-
C650D-11H	103320 Ft	15.6 LED	Athlon P320(2.1)	2 GB	250 (250 GB-5400)		2,40 Kg	24 hónap	lítiumionos			nincs	15.6	Igen	Igen, 2 db	-	-	-	-	Fekete, mintázott felület fekete billentyűzettel	-	-	-	Webcam-0.3	-					
Satellite C660D-107	108100 Ft	15,6 HD 200	AMD Athlon2 Dual Core P340 (2,2 Ghz)	3GB	320GB			24 hónap	6 Cell - 4400 BTO			-	15,6	Igen	Igen 2 db	-		-	-	Fekete, mintázott felület fekete billentyűzettel	-	-	Igen,	Igen	Igen	-				
Satellite C660-17X	112455 Ft	15,6"	PentiumP6100 (2,00 Ghz)	3 GB	320GB		2,30 Kg	24 hónap	6 Cell - 4400			Nincs	15,6", 39,6 cm	Igen	Igen	-	-		Igen 2,1	Világos acélszürke fedél és matt fekete belső rész, mindkettő mintázott felülettel, fekete billentyűzet	-		Igen	Webcam-1.3	-	-	Igen			
C650-177	116970 Ft	15.6" 39,6 cm	Core I3-350M (2,265)	3 GB	250 (250 GB-5400)			24 hónap	lítiumionos			Előtelepített operációs rendszer nélkül	15.6"	Igen	Igen, 2 db	-	-	-	-	Fekete, mintázott felület fekete billentyűzettel	-	-	Igen	Webcam-0.3	-					
L650-148	128100 Ft	15.6 LED	Core i3-330M(2.13)	4 GB	320 (320 GB-5400)			24 hónap	lítiumionos			Előtelepített operációs rendszer nélkül	15.6	Igen	Igen, 3 db	-	Igen	-	-	Fekete teljes méretű, lapos, fekete billentyűzettel	-	-	Igen	Webcam-0.3	-					
Satellite C660-12M	128520 Ft	15,6 LED	Core i3-370M(2,40 Ghz)	3 GB	320 (320 GB-5400)			24 hónap	6 CELLA	SUPER MULTI		-	15,6	iGEN	IGEN 2 DB		-		IGEN	Fekete, mintázott felület fekete billentyűzettel	-	-	IGEN	Webcam-1.3	-	-				
L650-146	135765 Ft	15.6 LED	Core i3-330M(2.13)	4 GB	320 (320 GB-5400)			24 hónap	litiumionos			Előtelepített operációs rendszer nélkül	15.6	Igen	Igen, 3 db	-	Igen	-	-	Fekete teljes méretű, lapos, fekete billentyűzettel	-	-	-	Webcam-0.3	-					
S500-11T	140595 Ft	15.6 ng	Core i3-330M(2.13)	2 GB	320 (320 GB-5400)			24 hónap				W7 Prof-64 + XP DVD	15.6	-	-	-	-	-	-		-	-	-	Webcam-3.0	-	-				
Satellite L670-13D	141015 Ft	17.3 LED	Core i3-330M(2.13)		320 (320 GB-5400)			24 hónap				W7 Premium-64	17.3	X	-	-	-	-	-		-	-	-	Webcam-0.3	-	-				
L630-11K	141960 Ft	13.3 LED	Core i3-330M (2.13)	4 GB	320 (320 GB-5400)			24 hónap			Igen	W7 Premium	13.3	Igen	Igen	Igen	Igen		X		-	-	Igen	Webcam-0.3		-		-	-	
Satellite C660-12R	145740 Ft	15,6" 39,6 cm	Core i3-370M (2.40 Ghz)	4 GB	320 GB HDD		2,3 kg	24 hónap	6 Cell - 4400			W7 64bit, Home Premium Előre telepítve	15,6"	-	Igen, 2 db		-		-	Fekete, mintázott felület fekete billentyűzettel	-	-	-	Webcam-HD	-	-				
L650-108	147210 Ft	15.6 LED	Core i3-330M(2.13)	4 GB	320 (320 GB-5400)			24 hónap				W7 Premium-64	15.6	-	-	-	-	-	-		-	-	-	Webcam-3.0	-	-				
L650-10E	150885 Ft	15.6 LED	Core i3-330M(2.13)	4 GB	500 (500 GB-5400)			24 hónap				W7 Premium-64	15.6	-	-	-	-	-	X		-	-	-	Webcam-0.3	-	-				
A500-1EE	168105 Ft	16.0" LED	Core i3-330M (2.13)	4 GB	320 GB HDD			24 hónap				W7 Premium-64bit	16.0"	-	-	-	-	-	-		-	-	-	Webcam-HD	-	-				
L650-13T	177555 Ft	15.6 LED	Core i3-330M(2.13)	4 GB	320 (320 GB-5400)			24 hónap				W7 Premium-64	15.6	-	-	-	-	-	X		-	-	-	Webcam-0.3	-	-				
Satellite A660-13V	178710 Ft	16.0 LED	Core i3-330M(2.13)	4 GB	320 (320 GB-5400)			24 hónap				W7 Premium-64		X	-	-	-	-	x		-	-	-	Webcam-1.3	-	-				
Tecra M11-103	190575 Ft	14.0 ng	Core i3-330M(2.13)	3 GB	250 (250 GB-5400)			36 hónap				W7 Prof-64 + XP DVD	14.0	X	-	-	-	-	X		-	-	-	Webcam-HD	-	-				
R630-105	212415 Ft	13,3 LED	Core i3-350M (2,26)	4 GB	320 (320 GB-5400)			36 hónap				W7 Premium-64 + XP DVD	13,3	Igen	-	-	-		Igen		-	-	-	Webcam-0.3	-	-		-		
Qosmio x770 11-C	230790 Ft	Full HD+3D	második generációs Intel Core i7	4 GB	1000 GB			24 hónap				W7 Premium-64	17.3	X	3.0 (1db) 2.0 (3db)	X	X	-	X		-	-	-	HD 3D	x	-				
Satellite P500-190	237510 Ft	18.4 LED	Core i5-520M (2.40/2.93 Turbo GHz)	4 GB	640 (640 GB-5400)		4,4 kg	24 hónap				W7 Premium-64	18.4	Igen	Igen 3 db	-	Igen	-	Igen	Memória olvasó:-Beépített kamera:Webcam-0.3Beépített mikrofon:-		Igen	-	Webcam-0.3	-	-				
Portégé R700-110	261870 Ft	13,3 LED ng	Core i5-450M (2,40)	4 GB	320 GB (7200rpm) SATA			36 hónap	6 cella BTO			Win Vista 32 Bit Business & XP DVD	-	X	X	X	-	-	X		-	-	X	-	-	-				
Qosmio F60-12L	278200 Ft	15,6 LEDdiv>HDD:500 (500 GB-5400)RAM:4GBGarancia:24 hónapMéret:18.4Wifi™:XUSB port:-Akku cella:Express card:-HDMI:-HSUPA:-Bluetooth™:XS-video:-Ujjlenyomat:-IEE1394 port:-Arcfelismerő szoftver:-Memória olvasó:-Beépített kamera:Webcam-HDBeépített mikrofon:-	Core i5-520QM (2.40 Ghz)	4GB	500 (500 GB-5400)			24 hónap				W7 Premium-64	18.4	X	-	-	-	-	X		-	-	-	Webcam-HD	-	-				
Portégé R700-12D	282135 Ft	13,3 LED ng	Core i5-450M (2,40)	4 GB	320 GB (7200rpm) SATA			36 hónap	6 cella BTO			Win 7 Proffesional-64; XP DVD	-	X	X	X	-		X		-	-	X	-	-	-				
